"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 20:13:47 GMT 2022","Wed Oct 26 20:13:48 GMT 2022","936","","Other pages elements tests","","Other pages elements tests","Check the ""Data Transfer Impact Assessment"" block from ""Data & Privacy"" page","Check the ""Data Transfer Impact Assessment"" block from ""Data & Privacy"" page",""
"passed","Wed Oct 26 20:13:29 GMT 2022","Wed Oct 26 20:13:31 GMT 2022","2202","","Contact Us page elements tests","","Contact Us page elements tests","Check ""Talk to an expert"" form with invalid ""Company website"" data","Check ""Talk to an expert"" form with invalid ""Company website"" data",""
"passed","Wed Oct 26 20:13:41 GMT 2022","Wed Oct 26 20:13:42 GMT 2022","1360","","Header elements tests","","Header elements tests","Check links from ""Resources"" drop-down menu","Check links from ""Resources"" drop-down menu",""
"skipped","Wed Oct 26 20:13:44 GMT 2022","Wed Oct 26 20:13:44 GMT 2022","0","","Header elements tests","","Header elements tests","Check the ""Developer Docs"" page heading","Check the ""Developer Docs"" page heading",""
"passed","Wed Oct 26 20:13:42 GMT 2022","Wed Oct 26 20:13:44 GMT 2022","1569","","Header elements tests","","Header elements tests","Check ""Built different"" block from Network page","Check ""Built different"" block from Network page",""
"passed","Wed Oct 26 20:13:35 GMT 2022","Wed Oct 26 20:13:36 GMT 2022","930","","Fax API page elements tests","","Fax API page elements tests","Check ""Your communications powered by our API"" block from ""Fax-API"" page","Check ""Your communications powered by our API"" block from ""Fax-API"" page",""
"passed","Wed Oct 26 20:13:49 GMT 2022","Wed Oct 26 20:13:51 GMT 2022","1919","","Release Notes page elements tests","","Release Notes page elements tests","Check the ""Release Notes"" page ""Network"" filters","Check the ""Release Notes"" page ""Network"" filters",""
"passed","Wed Oct 26 20:13:38 GMT 2022","Wed Oct 26 20:13:38 GMT 2022","192","","Footer elements tests","","Footer elements tests","Check ""Social"" footer block","Check ""Social"" footer block",""
"passed","Wed Oct 26 20:13:48 GMT 2022","Wed Oct 26 20:13:48 GMT 2022","682","","Other pages elements tests","","Other pages elements tests","Check the cityes from ""Where we are"" block on ""About Us"" page","Check the cityes from ""Where we are"" block on ""About Us"" page",""
"passed","Wed Oct 26 20:13:33 GMT 2022","Wed Oct 26 20:13:35 GMT 2022","1855","","Fax API page elements tests","","Fax API page elements tests","Check ""Fax Features for Total Control"" block from ""Fax-API"" page","Check ""Fax Features for Total Control"" block from ""Fax-API"" page",""
"passed","Wed Oct 26 20:13:20 GMT 2022","Wed Oct 26 20:13:21 GMT 2022","942","","Blog page elements tests","","Blog page elements tests","Check the ""Stay Connected"" form with invalid data","Check the ""Stay Connected"" form with invalid data",""
"passed","Wed Oct 26 20:13:22 GMT 2022","Wed Oct 26 20:13:27 GMT 2022","4668","","Contact Us page elements tests","","Contact Us page elements tests","Check ""Talk to an expert"" form with valid data","Check ""Talk to an expert"" form with valid data",""
"passed","Wed Oct 26 20:13:38 GMT 2022","Wed Oct 26 20:13:38 GMT 2022","54","","Footer elements tests","","Footer elements tests","Check ""Products"" footer block","Check ""Products"" footer block",""
"passed","Wed Oct 26 20:13:27 GMT 2022","Wed Oct 26 20:13:29 GMT 2022","2079","","Contact Us page elements tests","","Contact Us page elements tests","Check ""Talk to an expert"" form with invalid ""Business email"" data","Check ""Talk to an expert"" form with invalid ""Business email"" data",""
"passed","Wed Oct 26 20:13:51 GMT 2022","Wed Oct 26 20:13:53 GMT 2022","1281","","Release Notes page elements tests","","Release Notes page elements tests","Check the ""Release Notes"" page ""Fax"" filters","Check the ""Release Notes"" page ""Fax"" filters",""
"passed","Wed Oct 26 20:13:14 GMT 2022","Wed Oct 26 20:13:20 GMT 2022","6526","","Blog page elements tests","","Blog page elements tests","Check ""Get the eBook"" form with valid data","Check ""Get the eBook"" form with valid data",""
"passed","Wed Oct 26 20:13:38 GMT 2022","Wed Oct 26 20:13:40 GMT 2022","1819","","Footer elements tests","","Footer elements tests","Check redirect from footer twitter link","Check redirect from footer twitter link",""
"passed","Wed Oct 26 20:13:36 GMT 2022","Wed Oct 26 20:13:38 GMT 2022","1303","","Footer elements tests","","Footer elements tests","Check ""Mission control"" footer block","Check ""Mission control"" footer block",""
"passed","Wed Oct 26 20:13:45 GMT 2022","Wed Oct 26 20:13:47 GMT 2022","2329","","Other pages elements tests","","Other pages elements tests","Check the ""Come and work with us"" position headings from ""Careers"" page","Check the ""Come and work with us"" position headings from ""Careers"" page",""
"passed","Wed Oct 26 20:13:31 GMT 2022","Wed Oct 26 20:13:32 GMT 2022","822","","Contact Us page elements tests","","Contact Us page elements tests","Check the Mexico number from ""Calling from overseas"" block","Check the Mexico number from ""Calling from overseas"" block",""
